CustomerID,Name,Age,Gender,Location,Subscription_Length_Months,Monthly_Bill,Total_Usage_GB,Churn
28756,Customer_28756,42,Male,Houston,3,74.01,378,1
4969,Customer_4969,50,Male,Houston,21,32.29,94,1
61095,Customer_61095,62,Male,Houston,6,89.35,229,0
26729,Customer_26729,51,Female,Los Angeles,10,81.77,193,1
88458,Customer_88458,59,Male,Chicago,19,42.21,494,1
364,Customer_364,19,Female,Chicago,13,31.32,50,0
50362,Customer_50362,20,Male,Los Angeles,21,53.7,406,0
3435,Customer_3435,55,Female,Houston,3,98.03,212,1
25936,Customer_25936,63,Female,Los Angeles,5,99.78,196,1
76179,Customer_76179,39,Male,Los Angeles,15,53.65,356,0
53678,Customer_53678,42,Female,Chicago,20,74.44,156,0
70910,Customer_70910,23,Male,Miami,21,94.45,154,1
23071,Customer_23071,25,Female,Miami,16,93.31,118,0
77876,Customer_77876,33,Male,Miami,9,77.82,98,1
24745,Customer_24745,60,Male,New York,6,90.16,439,1
17183,Customer_17183,60,Female,Chicago,10,51.76,316,0
60188,Customer_60188,58,Male,Los Angeles,18,51.84,144,1
70600,Customer_70600,39,Female,Los Angeles,23,64.62,114,1
36229,Customer_36229,24,Female,Chicago,23,92.29,155,1
23052,Customer_23052,23,Male,Los Angeles,14,40.78,200,1
94062,Customer_94062,70,Female,Los Angeles,1,33.32,194,0
85348,Customer_85348,56,Female,Miami,7,80.87,445,1
245,Customer_245,63,Male,New York,19,41.08,216,0
35527,Customer_35527,47,Male,Houston,14,98.2,500,1
4216,Customer_4216,49,Male,Los Angeles,12,64.32,385,1
84392,Customer_84392,22,Male,New York,20,76.57,207,0
11469,Customer_11469,45,Female,Houston,24,83.62,372,1
85362,Customer_85362,52,Male,Miami,7,79.03,321,0
43612,Customer_43612,63,Female,Chicago,2,75.76,310,0
67192,Customer_67192,67,Male,New York,9,69.37,378,1
96837,Customer_96837,47,Female,New York,4,41.45,213,1
22466,Customer_22466,64,Male,Los Angeles,14,59.71,357,1
69087,Customer_69087,42,Male,Miami,9,79.14,200,0
1318,Customer_1318,61,Male,Houston,18,46.73,76,1
98863,Customer_98863,31,Male,Miami,2,87.16,465,0
91775,Customer_91775,20,Male,Chicago,3,83.28,70,1
